mean_us,p50_us,p95_us,p99_us,throughput_eps,mean_candidates,divergences,seed,mode,P,engine,n
9.5204453,8.301,14.505999999999927,36.102,105037.10367413171,1.7257,0,2026081402,selective,500,indexed,10000
9.9338994,8.701,15.601,36.70400000000004,100665.40436276213,1.7257,0,2026081402,selective,500,incremental,10000
59.2010407,51.803,94.605,145.31100000000006,16891.594947924623,500.0,0,2026081403,selective,500,reference,10000
9.582529300000001,8.4,15.205949999999929,35.80300000000002,104356.58151340063,1.7257,0,2026081403,selective,500,indexed,10000
10.1607065,8.7,15.705999999999928,39.50300000000002,98418.35309385229,1.7257,0,2026081403,selective,500,incremental,10000
58.2824951,51.702,94.41094999999993,145.80999000000003,17157.810390310486,500.0,0,2026081404,selective,500,reference,10000
9.470059599999999,8.301,14.4,33.902,105595.9563337912,1.7257,0,2026081404,selective,500,indexed,10000
13.634515399999998,9.4,26.601049999999997,63.60700000000006,73343.27408512078,1.7257,0,2026081404,selective,500,incremental,10000
59.14038180000001,51.803,95.10505,152.90901,16908.920259963554,500.0,0,2026081405,selective,500,reference,10000
10.210888,8.5,18.301,40.10301000000002,97934.67522119526,1.7257,0,2026081405,selective,500,indexed,10000
9.9265898,8.601,15.201,39.90399000000002,100739.5309112098,1.7257,0,2026081405,selective,500,incremental,10000
59.3629527,51.803,93.505,142.91400000000013,16845.523251743507,500.0,0,2026081406,selective,500,reference,10000
9.925839300000002,8.401,13.805949999999928,36.00300000000002,100747.14790113516,1.7257,0,2026081406,selective,500,indexed,10000
10.049747,8.801,15.001,37.603000000000016,99504.99251374189,1.7257,0,2026081406,selective,500,incremental,10000
59.081419,51.903,91.30999999999993,143.31100000000006,16925.79523183084,500.0,0,2026081407,selective,500,reference,10000
9.6804281,8.5,14.701,36.70300000000002,103301.2166063193,1.7257,0,2026081407,selective,500,indexed,10000
10.816088200000001,8.9,19.20599999999993,40.603000000000016,92454.86737062664,1.7257,0,2026081407,selective,500,incremental,10000
58.826792499999996,51.703,97.61094999999992,141.9119900000001,16999.05701980947,500.0,0,2026081408,selective,500,reference,10000
13.290208100000001,8.7,26.501,58.00400000000002,75243.36658054285,1.7257,0,2026081408,selective,500,indexed,10000
10.1926723,8.701,16.405949999999926,40.304000000000045,98109.69788560749,1.7257,0,2026081408,selective,500,incremental,10000
61.9050784,51.902,103.405,159.81100000000006,16153.763565866027,500.0,0,2026081409,selective,500,reference,10000
9.5303942,8.4,14.5,37.102,104927.45410258057,1.7257,0,2026081409,selective,500,indexed,10000
10.083631299999999,8.7,15.805999999999928,38.30300000000002,99170.62318611353,1.7257,0,2026081409,selective,500,incremental,10000
58.657327099999996,51.803,93.005,144.40800000000004,17048.16856545787,500.0,0,2026081410,selective,500,reference,10000
10.044310099999999,8.4,15.3,39.402,99558.85372356237,1.7257,0,2026081410,selective,500,indexed,10000
9.9695108,8.701,14.90005,37.905000000000065,100305.82443423402,1.7257,0,2026081410,selective,500,incremental,10000
